id,period,model,prompt_type,question,gold_answer,model_answer,token_f1,sacrebleu,bertscore_f1,rouge1_f1,rougeL_f1,cosine_similarity
1309,pre1500,gpt-5-chat-latest,direct,What monumental building projects were associated with Justinian during his reign?,"Justinian's era was characterized by extensive **urban development and architectural projects** that reflected the ambition of his administration. Besides the iconic Hagia Sophia, Justinian also initiated restoration efforts for damaged structures and the building of new fortifications, which were essential for protecting the empire’s borders and maintaining stability. This focus on monumental architecture not only demonstrated power and wealth but also aimed to ensure the Byzantine Empire's cultural and religious legacy, showcasing Justinian's vision of a unified and glorious empire amidst the geopolitical fragmentation of the time.","Emperor Justinian I (reigned 527–565 CE) embarked on an extensive building program aimed at glorifying the Byzantine Empire and its Christian faith. His most famous project was the Hagia Sophia in Constantinople (modern Istanbul), completed in 537, which served as the empire’s principal church and a marvel of Byzantine architecture. Justinian also commissioned the construction or restoration of numerous churches, such as the Church of Saints Sergius and Bacchus in Constantinople and the Basilica of San Vitale in Ravenna. Beyond religious structures, he reinforced the empire’s infrastructure by rebuilding city walls, aqueducts, and fortifications across the empire, notably strengthening the defenses of Constantinople with the renovation of the Hagia (Holy) Apostles and the Theodosian Walls. Justinian’s building efforts reflected both his ambition to restore Roman greatness and his devotion to Christianity.",0.21100917431192662,1.7259681570583107,0.8633666038513184,0.42152466367713004,0.20627802690582958,0.8738644
228,pre1500,gpt-5-chat-latest,direct,What were the Vedas primarily used for in rituals within Aryan society?,"In Aryan society, the Vedas served an essential role in the transmission of cultural and religious beliefs through rituals that focused on divine worship and societal hierarchy. They facilitated the Aryans' understanding of the cosmos and moral conduct, as they offered explanations for existence through concepts like karma and samsara—ideas that were developed in later texts, such as the Upanishads. The rituals, which involved elaborate sacrifices and altars, emphasized the need for social order and adherence to inherited status, thereby leading to the establishment of the caste system. Furthermore, the Vedas provided a means of oral education for the illiterate, allowing knowledge of the sacred texts to influence the values and roles of different societal classes, ultimately shaping the very blueprint of Jain and Hindu traditions.","In Aryan society, the Vedas were primarily used as sacred texts guiding religious rituals and ceremonies. They contained hymns, chants, prayers, and instructions for performing sacrifices (yajnas) to honor and appease various deities such as Agni, Indra, and Varuna. The hymns were recited by priests (Brahmins) according to precise oral and ritual traditions to ensure proper communication with the gods and maintain cosmic order (ṛta). Through these ritual performances, the Vedas served both spiritual and societal functions—preserving religious knowledge, legitimizing social hierarchy, and reinforcing the connection between humans, nature, and the divine.",0.2110091743119266,8.155491217537325,0.8726859092712402,0.39999999999999997,0.22727272727272727,0.8533475
51,pre1500,gpt-5-chat-latest,direct,What do the Twelve Tribes of Israel descend from according to the text?,"In examining the origins of the Twelve Tribes of Israel, the text indicates that they can be traced back to Jacob, the son of Isaac and grandson of Abraham. Abraham, a significant patriarch in Hebrew history, plays a crucial role as he is noted to have migrated from Ur to Canaan, establishing a new home for his family. This journey signifies not only physical relocation but also the spiritual and cultural evolution of the Hebrews. Thus, the tribes emerge from a familial lineage that is foundational to their identity and societal structure, showcasing the importance of these biblical figures in the religious narratives that have been preserved over centuries.","According to the text of the Hebrew Bible, the Twelve Tribes of Israel descend from the twelve sons of Jacob, who was later named Israel. Each tribe takes its name from one of Jacob’s sons or, in the case of two tribes, from his grandsons through Joseph. The sons are Reuben, Simeon, Levi, Judah, Issachar, Zebulun, Dan, Naphtali, Gad, Asher, and Joseph, whose sons Ephraim and Manasseh were each given a portion as separate tribes. Thus, the Twelve Tribes collectively trace their ancestry to Jacob (Israel) and his family, forming the foundational divisions of the people of Israel.",0.1642512077294686,8.486355050615062,0.8478983640670776,0.38461538461538464,0.23076923076923078,0.82212985
1518,pre1500,gpt-5-chat-latest,direct,What were the two main groups involved in the conflicts described during Muhammad's last years?,"During Muhammad's last years, the two primary groups involved in the conflicts were the **Muslim community in Medina** and the **Meccan Quraysh tribe**. The Muslims, led by Muhammad, faced fierce opposition from their former brethren who resided in Mecca. This ongoing conflict was not just a struggle between different faiths but was also steeped in familial ties, as many individuals on both sides had blood relations despite their differing beliefs. The culmination of this conflict occurred when the Quraysh tribe surrendered in 630, which allowed Muhammad to cleanse the Kaaba of its polytheistic idols, fulfilling a crucial spiritual and communal objective for the emergent Muslim ummah.","During Muhammad’s final years, the two main groups involved in the conflicts were the Muslims of Medina and the Quraysh of Mecca. These conflicts, which included significant battles such as Badr, Uhud, and the Trench, arose as Muhammad and his followers sought to defend and expand the Muslim community in the face of opposition from the Quraysh, who were the dominant tribe controlling Mecca. The Quraysh initially opposed Muhammad’s message, seeing it as a threat to their social, political, and economic power based on tribal and religious traditions. Over time, the conflicts extended to include some allied tribes connected to either Mecca or Medina. The culmination of these struggles was the peaceful conquest of Mecca in 630 CE, after which most of Arabia came under Muslim leadership.",0.2575107296137339,12.759967562341474,0.88065505027771,0.44255319148936173,0.2978723404255319,0.8508245
563,pre1500,gpt-5-chat-latest,direct,What role did enslaved people play in the agricultural system of Aksumite society?,"In the context of Aksumite society, enslaved individuals were not only integral to the agricultural workforce but also indicative of the social hierarchy present at the time. The existence of the enslaved class underpinned the economic prosperity of the kingdom, especially during its height from the third to the sixth century CE, when trade and agricultural output were crucial. These enslaved workers likely contributed significantly to estate management and agricultural practices, enabling the nobility to focus on governance and trade relationships. Therefore, the reliance on enslaved labor reflected both the economic necessities of farming and the societal structures that supported Aksum's power within the region.","In Aksumite society (c. 100–700 CE), enslaved people played a significant role in supporting the agricultural economy, which formed the foundation of the kingdom’s wealth and sustenance. They were primarily employed as laborers on royal and elite estates, where they cultivated key crops such as wheat, barley, teff, and millet. Enslaved workers performed physically demanding agricultural tasks like plowing, planting, harvesting, and maintaining irrigation systems. In addition to fieldwork, they tended livestock and contributed to food processing and storage. Their labor ensured a stable food supply, enabling surplus production that supported trade and urban development. While free peasants also farmed, enslaved individuals represented an essential, controlled labor force that helped sustain both the local economy and Aksum’s participation in long-distance trade networks. Thus, enslaved people were integral to maintaining agricultural productivity and the broader prosperity of Aksumite society.",0.18106995884773663,3.130187542420837,0.8799132108688354,0.3724696356275304,0.2186234817813765,0.9122274
501,pre1500,gpt-5-chat-latest,direct,What was the impact of the Edict of Milan on the legality of Christianity in the Roman Empire?,"In issuing the **Edict of Milan**, Emperor **Constantine** effectively transformed the status of Christianity from one of illegality to a recognized and tolerated religion within the Roman Empire. The edict came as a response to the previous waves of persecution, notably during the reigns of emperors such as **Nero** and **Diocletian**, who sought to suppress Christianity by destroying churches and punishing non-compliance with traditional sacrificial rites. The legalization of Christianity not only alleviated the immediate threat of persecution but also fostered a new era of Christian identity and community. The commitment to religious toleration outlined in the edict empowered Christians to openly practice their faith, which previously had to be conducted in secret, thus promoting the establishment of congregations and the rapid growth of Christianity as a significant cultural force in the empire.","The Edict of Milan, issued in 313 CE by the Roman emperors Constantine I and Licinius, granted full religious tolerance throughout the Roman Empire and specifically legalized Christianity. This marked the end of official persecution of Christians, allowing them to worship openly, rebuild churches, and reclaim confiscated property. The edict did not make Christianity the state religion but established freedom of religion for all faiths, fundamentally changing the empire’s religious landscape. It paved the way for Christianity’s rapid growth and eventual dominance within the Roman world, influencing both imperial policy and European cultural development for centuries to come.",0.19913419913419914,4.780081922793427,0.8879576921463013,0.4273504273504274,0.2564102564102564,0.8774502
457,pre1500,gpt-5-chat-latest,direct,What revolutionary communication tool was developed during the Iron Age?,"The **alphabet**, introduced by the Phoenicians during the Iron Age, represents a foundational change in communication methods of the time. Unlike earlier writing systems, which were often complex and limited to elite use, the Phoenician alphabet was simpler, making it accessible to a broader population. This democratization of writing enabled increased literacy among diverse groups, including traders and local artisans, which was crucial for the flourishing trade networks across the Mediterranean. The spread of the alphabet further led to interactions among different cultures, helping to foster economic and social ties during a pivotal era of cultural development.","During the Iron Age, the most revolutionary communication tool developed was the **alphabet**—specifically the spread and adaptation of the **Phoenician alphabet** (around 1200–800 BCE). This writing system represented distinct sounds with a limited set of symbols, making reading and writing far simpler and more accessible than earlier pictographic or cuneiform scripts. The Phoenician alphabet became the foundation for many later alphabets, including Greek, Latin, and Aramaic. Its development greatly enhanced record-keeping, trade, administration, and the transmission of ideas across cultures, profoundly transforming communication and literacy in the ancient world.",0.2580645161290323,6.086821968934057,0.878286600112915,0.48677248677248675,0.21164021164021163,0.8982194
285,pre1500,gpt-5-chat-latest,direct,What role did the Palk Strait play in the Chola's control of maritime trade during their golden age?,"In terms of geopolitical strategy, the Palk Strait functioned as an essential artery for the Chola's maritime dominance during their period of expansion. This control was critical in ensuring the safe passage of trade, which included spices, textiles, and other goods, directly contributing to the wealth of the Chola Empire. By restricting access and enhancing trade tariffs in the Palk Strait, the Cholas effectively exerted control over regional trade dynamics. Furthermore, this strategic advantage allowed the Cholas to weaken rival states, as illustrated by their naval operations against Srivijaya, which not only decimated their port systems but also served as a deterrent against other potential threats. Thus, the Palk Strait was not just a geographical feature; it was a key element in the economic strategy that fueled the Chola Empire's status and power during its golden age.","During the Chola Empire’s golden age (c. 9th–13th centuries CE), the Palk Strait—a narrow body of water separating southern India from Sri Lanka—played a crucial role in their dominance over maritime trade. It served as a vital maritime corridor linking the Coromandel Coast with Sri Lanka and further routes across the Indian Ocean. By controlling ports and naval bases along the Palk Strait, the Cholas could monitor and tax trade between South India, Sri Lanka, and Southeast Asia, ensuring economic prosperity. The strait also allowed the Cholas to project naval power efficiently, facilitating military expeditions, especially their conquest of northern Sri Lanka and overseas ventures towards Srivijaya. Thus, control over the Palk Strait enabled the Cholas to secure strategic maritime networks, safeguard shipping routes, and establish themselves as a preeminent naval and commercial power in the Indian Ocean world.",0.2101449275362319,10.20798591361347,0.8828049302101135,0.4357142857142857,0.21428571428571427,0.87680566
1508,pre1500,gpt-5-chat-latest,direct,"What significant migration of Homo sapiens occurred around 100,000 years ago?","Around **100,000 years ago**, significant groups of **Homo sapiens** began leaving the **African continent**, marking the start of a global migration that would extend for tens of thousands of years. This migration initiated after groups crossed the **Sinai Peninsula** into **southwest Asia**. Early human populations likely traveled along the coastal routes, eventually reaching regions such as **India** and **China** by approximately **70,000 years ago**. These movements not only expanded the geographic distribution of our species but also continued into areas like **Malaysia**, **Indonesia**, and ultimately to the shores of **Australia** and **Papua New Guinea**, where evidence of settlements can be traced back at least **45,000 years**. The migration was driven by resource scarcity due to increasingly dry conditions in Africa, compelling these hunter-gatherer groups to seek out essential survival resources.","Around 100,000 years ago, a significant migration of *Homo sapiens* began out of Africa. This event, often called the “Out of Africa” or “African Exodus” migration, marked the first major dispersal of anatomically modern humans from their ancestral homeland into other parts of the world. Small groups of *Homo sapiens* left eastern Africa and began moving into the Middle East (the Levant), likely following favorable climate conditions and animal migrations.  

Although earlier excursions out of Africa may have occurred, this period represents the beginning of a more sustained expansion. These early migrants eventually spread into Asia, Australia, and later Europe, replacing or interbreeding with other hominin populations such as Neanderthals and Denisovans. This movement laid the foundation for the global distribution of modern humans today.",0.21176470588235297,8.37361852224441,0.8752716779708862,0.40769230769230763,0.22307692307692306,0.8111128
209,pre1500,gpt-5-chat-latest,direct,What were the main factors that led to the aversion to Mongol rule in China in the mid-fourteenth century?,"The aversion to Mongol rule in China during the mid-fourteenth century can be attributed to multiple interrelated factors:

1. **Political Instability**: By the early fourteenth century, the Mongol Empire was characterized by political instability and shifting relationships with the peoples they had conquered. Such instability was felt at the local levels in China, contributing to dissatisfaction with Mongol leadership.
2. **Economic Crisis**: The combination of rapid inflation and the impact of the bubonic plague devastated the economy, severely undermining the credibility of the Yuan dynasty and increasing the hardship faced by the populace.
3. **Cultural Assimilation and Conflict**: Despite being at the heart of the Mongol Empire, the contrasting cultural practices led to a perception of Mongols as outsiders, intensifying sentiments against Mongol governance.

These factors together created an environment ripe for rebellion, ultimately leading to the rise of the Ming dynasty after the downfall of the Yuan in 1368.","Several factors contributed to Chinese aversion to Mongol rule in the mid-fourteenth century. The Mongol Yuan dynasty (1271–1368) maintained ethnic hierarchies that favored Mongols and Central Asians over the Chinese majority, excluding Han officials from top government positions and reserving privileges for foreigners. Heavy taxation, forced labor, and land confiscations burdened peasants, while frequent wars and natural disasters—like floods and famine—exacerbated hardship. Economic decline and corruption within the Yuan administration further weakened legitimacy. Culturally, many Chinese resented the Mongols’ perceived disregard for Confucian traditions and bureaucratic norms. Additionally, widespread unrest, including millenarian movements such as the Red Turban Rebellion, reflected growing resentment against Mongol oppression and economic injustice. Altogether, ethnic discrimination, economic exploitation, administrative corruption, and natural calamities combined to produce deep hostility toward Mongol rule, ultimately paving the way for the Yuan dynasty’s collapse and the establishment of the Ming dynasty in 1368.",0.14285714285714285,7.299746039788221,0.875623881816864,0.33999999999999997,0.21333333333333332,0.87268984
